fund_token,award_year_token,sel_set_year_token,fund_family,fund_ledger_number,fund_list_sequence,fund_long_name,fund_short_name,fund_desc,fund_type,fund_source,fund_gov_id,fund_lock,scan_group_1,fund_min,fund_max,fund_balance,fund_number_award,fund_amt_award,fund_number_accept,fund_amt_accept,fund_amt_paid,fund_number_paid,fund_available_dollars,fund_rounding,fund_distribution,fund_disbursement,fund_alternate,fund_real_dollars,fund_tfc_replacement,fund_need_based,fund_equity_offset,net_proceeds_percent,message_token,non_pars_flag,scan_group_2,direct_loan,dflt_ln_interest_rate,dflt_ln_deferment_request,dflt_ln_capitalize_interest,dflt_ln_eft_authorization,dflt_ln_borrower_signature,dflt_ln_first_time_borrower,ext_fund_code,fund_grant_subtype,fund_loan_subtype,alternative_loan,alp_loan_program_id,alp_lender,alp_guarantor,loan_type,anticipated,fund_external_name,fund_family_2,renewable,renew_increment_type,renew_increment_amt,renew_default_status,bypass_disb_rules,web_description,include_in_need_based,hold_release_flag,direct_loan_disbursement_option,fund_reduce_netpartner,web_display,alt_fund_satisfactory_progress,fin_aid_disclosure_category,report_as_additional_unsub,gainful_employment_reporting,bypass_ext_disb_tracking_status,unreconciled_changes,reconciliation_date,estimated_award,disburse_estimated,cod_reporting_if_estimated,default_award_status,web_display_awards_page,web_display_accept_awards_page,active_fund,bypass_fed_pack_requirements,fund_job_subtype,date_message_assigned,disb_to_date_option,cfp_category,bypass_coa,include_in_CDS,include_in_IPEDS,include_in_LCME,origination_fee,fvt_gv_fund_rep_type,File_Name,Snapshot_Date
1467,2006,null,null,null,256,C. H. DANIELS ALUMNI SCHOLARSHIP,CH DANIELS,C. H. DANIELS ALUMNI SCHOLARSHIP,G,O,null,null,null,150,250,1000,0,0,0,0,0,0,1000,0,1,Y,null,1000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1468,2006,null,null,null,220,_____RMHC/UNCF,RMHC/UNCF,RMHC/UNCF,G,O,null,null,null,1000,1500,5000,0,0,0,0,0,0,5000,0,1,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1469,2006,null,null,null,225,_____Americorps,Americorps,Americorps,G,O,null,null,null,3000,3000,99000,3,4948,3,4948,3698,2,94052,null,null,Y,null,99000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1470,2006,null,null,null,257,RANGER/RYAN SCHOLARSHIP FOUNDATION,R/R SCHOL.,RANGER/RYAN SCHOLARSHIP FOUNDATION,G,O,null,null,null,250,500,1500,0,0,0,0,0,0,1500,0,1,Y,null,1500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1471,2006,null,null,null,515,_____UNCF Warburg Scholarship,Warburg,Warburg Scholarship (UNCF),G,O,null,null,null,2000,2000,100000,0,0,0,0,0,0,100000,null,null,Y,null,100000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1472,2006,null,null,null,220,Key Trust Company,Key Trust,Key Trust Company Scholarship,G,O,null,null,null,250,250,500,0,0,0,0,0,0,500,null,null,Y,null,500,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1473,2006,null,null,null,333,The Links Scholarship,The Links,"East Texas Chapter Links, Inc.",G,O,null,null,null,500,500,500,0,0,0,0,0,0,500,null,null,Y,null,500,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1474,2006,null,null,null,506,Pipe Distributors Scholarship,Pipe Distr,Pipe Distributors Scholarship - UNCF,G,O,null,null,null,500,1000,1000,0,0,0,0,0,0,1000,0,1,Y,null,1000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1475,2006,null,null,null,256,HOUSING AUTHORITY OF SHREVEPORT,HOUS. AUTH,HOUSING AUTHORITY OF THE CITY OF SHREVEPORT,G,O,null,null,null,500,500,500,0,0,0,0,0,0,500,0,1,Y,null,500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1476,2006,null,null,null,808,Pearlie Gates Scholarship,Pearlie Ga,Pearlie Gates Scholarship,G,O,null,null,null,1000,1000,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1477,2006,null,null,null,901,_____Vivien Lewis Scholarship-Honor,VIVIAN LEW,Vivian Lewis Scholarship-Honors,G,O,null,null,null,1000,1000,51692,33,47176,33,47176,47176,33,4516,0,1,Y,null,51692,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1478,2006,null,null,null,910,_____UNCF - Southwestern Bell Sch,UNCF - SBC,UNCF - Southwestern Bell Corporation Sch.,G,O,null,null,null,5000,5000,10000,0,0,0,0,0,0,10000,0,1,Y,null,10000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1479,2006,null,null,null,910,Harvey & Catherine Moses (UNCF) Scholars,Moses UNCF,Catherine & Harvey Moses (UNCF) Scholarship,G,O,null,null,null,2000,2000,2000,0,0,0,0,0,0,2000,0,1,Y,null,2000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1480,2006,null,null,null,911,Hudson Webber (UNCF) Scholarship,Hudson Web,Hudson Webber (UNCF) Scholarship,G,O,null,null,null,3000,3000,5000,0,0,0,0,0,0,5000,0,1,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1481,2006,null,null,null,925,Siragusa (UNCF) Scholarship,Siragusa,Siragusa (UNCF) Scholarship,G,O,null,null,null,5000,5000,50000,0,0,0,0,0,0,50000,null,null,Y,null,50000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1482,2006,null,null,null,922,____SAHARA Scholarship,SAHARA,SAHARA Scholarship,G,O,null,null,null,5000,5000,50000,0,0,0,0,0,0,50000,null,null,Y,null,50000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1483,2006,null,null,null,925,Bahamas Government Loan,Bahamas,Bahamas Government Loan,G,O,null,null,null,2000,2000,10000,0,0,0,0,0,0,10000,null,null,Y,null,10000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1484,2006,null,null,null,566,_____Miss Wiley  UNCF,MS W-UNCF,MISS WILEY UNCF,G,O,null,null,null,1000,5000,5000,1,1500,1,1500,1500,1,3500,0,1,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1485,2006,null,null,null,1000,Mt. Olive Baptist Church,Mt Olive,Mt. Olive Baptist Church,G,O,null,null,null,500,500,1000,0,0,0,0,0,0,1000,null,null,Y,null,1000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1486,2006,null,null,null,676,McCord Scholarship,McCord Sch,McCord Scholarship,G,O,null,null,null,2000,2000,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1487,2006,null,null,null,544,_____Knowles II,Knowles II,Knowles (UNCF) Scholarship,G,O,null,null,null,500,500,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1488,2006,null,null,null,577,_____Knowles III (UMC),KnowIesIII,Knowles III (UMC) Scholarship,G,O,null,null,null,500,1000,37000,7,24500,7,24500,24235,7,12500,0,1,Y,null,37000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1489,2006,null,null,null,222,Tarplay Scholarship,Tarplay,Tarplay Scholarship,G,O,null,null,null,1000,1000,7500,0,0,0,0,0,0,7500,null,null,Y,null,7500,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1490,2006,null,null,null,333,_____C. Bradford C.J. Scholarship,Bradford,Clarence Bradford Criminal Justice Scholarship,G,I,null,null,null,250,1000,7500,0,0,0,0,0,0,7500,0,1,Y,null,7500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1491,2006,null,null,null,111,Parrott Scholarship,Parrott,Parrott Scholarship,G,O,null,null,null,1000,1000,5000,0,0,0,0,0,0,5000,0,1,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1492,2006,null,null,null,950,Grand Prairie Ford Scholarship,Grand Prai,Grand Prairie Ford Scholarship,G,O,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,N,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1493,2006,null,null,null,218,_____UNCF - Citigroup Scholarship,UNCF-Citig,UNCF - Citigroup Scholarship,G,O,null,null,null,3200,3200,7000,0,0,0,0,0,0,7000,0,1,Y,null,7000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1494,2006,null,null,null,666,_____Miss Wiley Scholarship,Miss Wiley,Miss Wiley Scholarship,G,O,null,null,null,1000,1000,13804,1,6454,1,6454,6454,1,7350,0,1,Y,null,13804,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1495,2006,null,null,null,808,_____UNCF - Ms Nat'l UNCF,UNCF-MsNat,UNCF - MISS NATIONAL UNCF SCHOLARSHIP,G,O,null,null,null,5000,5000,3000,0,0,0,0,0,0,3000,0,1,Y,null,3000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1496,2006,null,null,null,25,__TEXAS Asso. of Developing Colleges,TADC,Texas Association of Developing Colleges,G,O,null,null,null,1000,1000,10000,0,0,0,0,0,0,10000,0,1,Y,null,10000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1497,2006,null,null,null,58,_____UNCF - Bessie Irene Smith Sch,UNCF-BISch,UNCF - BESSIE IRENE SMITH SCHOLARSHIP,G,O,null,null,null,500,5000,50000,0,0,0,0,0,0,50000,0,1,Y,null,50000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1498,2006,null,null,null,819,HAWN UNCF SCHOLARSHIP,HAWN,HAWN UNCF SCHOLARSHIP,G,O,null,null,null,2500,2500,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1499,2006,null,null,null,820,BRADBURY SCHOLARSHIP,BRADBURY,BRADBURY SCHOLARSHIP,G,O,null,null,null,2500,2500,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1500,2006,null,null,null,821,CRANE UNCF SCHOLARSHIP,CRANE,CRANE UNCF SCHOLARSHIP,G,O,null,null,null,2500,2500,5000,0,0,0,0,0,0,5000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1501,2006,null,null,null,244,CENTER AMERICA PROPERTY TRUST,CAPT,CENTER AMERICA PROPERTY TRUST SCHOLARSHIP,G,O,null,null,null,750,1000,2000,0,0,0,0,0,0,2000,0,1,Y,null,2000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1502,2006,null,null,null,245,FRANKLIN ROOSEVELT HIGH SCHOOL PTA,FRANK. SCH,FRANKLIN ROOSEVELT HIGH SCHOOL PTA SCHOLARSHIP,G,O,null,null,null,250,500,500,0,0,0,0,0,0,500,0,1,Y,null,500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1503,2006,null,null,null,246,CENTER INDEPENDENT SCHOOL DISTRICT,CISD SCHL,CENTER INDEPENDENT SCHOOL DISTRICT SCHOLARSHIP,G,O,null,null,null,250,1000,1500,0,0,0,0,0,0,1500,0,1,Y,null,1500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1504,2006,null,null,null,248,_____PROJECT GRAD SCHOLAR,PRO GRAD,PROJECT GRAD SCHOLARSHIP,G,O,null,null,null,250,1000,5000,0,0,0,0,0,0,5000,0,1,Y,null,5000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1505,2006,null,null,null,250,_____JOE LOUIS SCHOLARSHIP,JOE LOUIS,JOE LOUIS SCHOLARSHIP,G,O,null,null,null,500,2000,15000,11,13306,11,13306,13306,11,1694,0,1,Y,null,15000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1506,2006,null,null,null,255,HIGHLAND PARK BAPTIST CHURCH,HPBC,HIGHLAND PARK BAPTIST CHURCH,G,O,null,null,null,150,300,300,0,0,0,0,0,0,300,0,1,Y,null,300,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1507,2006,null,null,null,300,TRINITY UNITED METHODIST CHURCH,TUMC,TRINITY UNITED METHODIST CHURCH SCHOLARSHIP,G,O,null,null,null,500,3000,3000,0,0,0,0,0,0,3000,0,1,Y,null,3000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1508,2006,null,null,null,301,CBS CAREER HORIZONS SCHOLARSHIP,CBS CAREER,CBS CAREER HORIZONS SCHOLARSHIP (UNCF),G,O,null,null,null,4000,8000,8000,0,0,0,0,0,0,8000,0,1,Y,null,8000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1509,2006,null,null,null,301,H. B. PEMBERTON SCHOLARSHIP,H. B. PEMB,H. B. PEMBERTON SCHOLARSHIP,G,O,null,null,null,50,150,150,0,0,0,0,0,0,150,0,1,Y,null,150,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1510,2006,null,null,null,302,BONEHILL FOUNDATION SCHOLARSHIP,BON FOUND.,BONEHILL FOUNDATION SCHOLARSHIP,G,O,null,null,null,500,1000,2000,0,0,0,0,0,0,2000,0,1,Y,null,2000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
1511,2006,null,null,null,303,CATHERINE PINKSTON ROUGHRIDER FOUND.,CPRF SCHL.,CATHERINE PINKSTON ROUGHRIDER FOUNDATION SCHOLARSHIP,G,O,null,null,null,250,500,2000,0,0,0,0,0,0,2000,0,1,Y,null,2000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
