"Name","State","Annotations","Data Category","Data Type","Description","Detail Rows Definition","Display Folder","Error Message","Expression","Extended Properties","Format String","Is Hidden","Is Removed","Is Simple Measure","KPI","Mddel","Modified Time","Parent","Structure Modified Time","Table"
"Students GPA Below 2.5","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","","","","","SUM('Academic Performance by Term Sport and Scholarship'[Academic Term])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0","False","False","False","","Model","11/25/2025 1:07:34 AM","Microsoft.AnalysisServices.Tabular.Table","11/25/2025 1:00:13 AM","Athletes with Scholarships 2017-2025"
"Total Distinct-Athletes","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","","","","","SUM('Participation Summary by Term and Sport'[Total Athletes])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0","False","False","False","","Model","11/24/2025 7:57:18 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 7:55:24 PM","Participation Summary by Term and Sport"
"Total Athletic Investment","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Financial Performance","","Financial Performance","","SUM('Athletic Scholarships by Term 2017-2025'[Amount Awarded])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"ROI per Scholarship Dollar","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE([Average Career GPA Athletes] * 10000, [Average Scholarship Investment], 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$0.00","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Cost per Graduate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE([Total Athletic Investment], [Projected Graduates], 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Budget Efficiency Ratio","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE(
      SUM('Athletic Scholarships by Term 2017-2025'[Amount Earned]),
      SUM('Athletic Scholarships by Term 2017-2025'[Amount Awarded]),
      0
  )","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 6:33:34 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Average Scholarship Investment","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","AVERAGE('Scholarship Summary by Term and Sport'[Average Scholarship Amount])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Total Scholarship Athletes","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Financial Performance","","Financial Performance","","SUM('Athletic Scholarships by Term 2017-2025'[Amount Awarded])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","#,0","False","False","False","","Model","11/24/2025 5:23:19 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"VAR LatestYear","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE(
      AVERAGE('Scholarship Summary by Term and Sport'[Total Scholarship Athletes]),
      AVERAGE('Participation Summary by Term and Sport'[Total Athletes]),
      0
  ) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 6:33:02 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Financial Risk Score","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","
VAR AcademicRisk = [At-Risk Student Rate]
VAR RetentionRisk = [Retention Risk Factor]
VAR CombinedRisk = (AcademicRisk * 0.6) + (RetentionRisk * 0.4)
RETURN CombinedRisk","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Investment per Sport","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE([Total Athletic Investment], DISTINCTCOUNT('Participation Summary by Term and Sport'[Sport Name]), 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Scholarship Yield Rate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Financial Performance","","Financial Performance","","DIVIDE(SUM('Athletic Scholarships by Term 2017-2025'[Amount Earned]), SUM('Athletic Scholarships by Term 2017-2025'[Amount Awarded]), 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 6:05:42 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Total Athletes Program","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Strategic Performance","","Strategic Performance","","SUM('Participation Summary by Term and Sport'[Total Athletes])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Average Career GPA Athletes","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Strategic Performance","","Strategic Performance","","AVERAGE('Participation Summary by Term and Sport'[Average Career GPA])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"At-Risk Student Rate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Strategic Performance","","Strategic Performance","","DIVIDE(
      SUM('Academic Performance by Term Sport and Scholarship'[Students with GPA Below 2.5]),
      SUM('Academic Performance by Term Sport and Scholarship'[Total Students]),
      0
  ) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Program Completion Rate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Strategic Performance","","Strategic Performance","","DIVIDE(AVERAGE('Participation Summary by Term and Sport'[Average Hours Earned]), 120, 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Gender Diversity Index","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Strategic Performance","","Strategic Performance","","100 - ABS(DIVIDE(SUM('Participation Summary by Term and Sport'[Male Athletes]), SUM('Participation Summary by Term and Sport'[Female Athletes]), 0) - 1) * 50","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Projected Graduates","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Strategic Performance","","Strategic Performance","","CALCULATE([Total Athletes Program], 'Participation Summary by Term and Sport'[Average Hours Earned] >= 90)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"High Performance Athletes","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Strategic Performance","","Strategic Performance","","SUM('Academic Performance by Term Sport and Scholarship'[Students with GPA Above 3.5])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","#,0","False","False","False","","Model","11/25/2025 1:12:15 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Academic Success Trend","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Strategic Performance","","Strategic Performance","","CALCULATE(AVERAGE('Academic Performance by Term Sport and Scholarship'[Average Career GPA]), 'Academic Performance by Term Sport and Scholarship'[Award Year] = MAX('Academic Performance by Term Sport and Scholarship'[Award Year])) - CALCULATE(AVERAGE('Academic Performance by Term Sport and Scholarship'[Average Career GPA]), 'Academic Performance by Term Sport and Scholarship'[Award Year] = MAX('Academic Performance by Term Sport and Scholarship'[Award Year]) - 1)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","","False","False","False","","Model","11/24/2025 7:47:12 PM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"VAR CurrentYear","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Strategic Performance","","Strategic Performance","","SUM('Participation Summary by Term and Sport'[Total Athletes])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 2:15:13 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Academic Risk Exposure","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","[At-Risk Student Rate] * [Total Athletic Investment] / 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Scholarship Default Risk","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","DIVIDE(COUNTROWS(FILTER('Athletic Scholarships by Term 2017-2025', 'Athletic Scholarships by Term 2017-2025'[Amount Earned] = 0)), COUNTROWS('Athletic Scholarships by Term 2017-2025'), 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Financial Concentration Risk","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","VAR MaxSportInvestment = MAXX(VALUES('Scholarship Summary by Term and Sport'[Sport Name]), [Total Athletic Investment]) RETURN DIVIDE(MaxSportInvestment, [Total Athletic Investment], 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Compliance Risk Score","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","([At-Risk Student Rate] * 0.4) + ([Scholarship Default Risk] * 0.3) + ([Financial Concentration Risk] * 0.3)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Retention Risk Factor","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","100 - [Program Completion Rate]","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Investment at Risk","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","[Academic Risk Exposure] + ([Scholarship Default Risk] / 100 * [Total Athletic Investment])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Performance Variance","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","STDEV.P('Participation Summary by Term and Sport'[Average Career GPA])","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.000","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Budget Overrun Risk","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","DIVIDE(COUNTROWS(FILTER('Athletic Scholarships by Term 2017-2025', 'Athletic Scholarships by Term 2017-2025'[Amount Awarded] > 'Athletic Scholarships by Term 2017-2025'[Amount Earned] * 1.1)), COUNTROWS('Athletic Scholarships by Term 2017-2025'), 0) * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Operational Risk Index","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Risk Management","","Risk Management","","([Retention Risk Factor] * 0.5) + ([Performance Variance] * 20)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Strategic Risk Rating","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Int64","Executive measure for Risk Management","","Risk Management","","SWITCH(TRUE(), [Compliance Risk Score] <= 10, 1, [Compliance Risk Score] <= 25, 2, [Compliance Risk Score] <= 50, 3, [Compliance Risk Score] <= 75, 4, 5)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0","False","False","False","","Model","11/25/2025 1:35:39 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Athletes per Dollar Invested","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([Total Athletes Program], [Total Athletic Investment], 0) * 1000","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Average Investment per Athlete","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([Total Athletic Investment], [Total Athletes Program], 0)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","$#,0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Scholarship Utilization Rate","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","[Budget Efficiency Ratio] * 100","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0%","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Academic Output per Dollar","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([Average Career GPA Athletes] * [Total Athletes Program], [Total Athletic Investment], 0) * 10000","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Cost Efficiency Index","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","DIVIDE([High Performance Athletes], [Total Athletic Investment], 0) * 100000","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.00","False","False","False","","Model","11/25/2025 1:12:15 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
"Resource Allocation Score","Ready","Microsoft.AnalysisServices.Tabular.MeasureAnnotationCollection","","Double","Executive measure for Operational Efficiency","","Operational Efficiency","","100 - ([Financial Concentration Risk] / 2)","Microsoft.AnalysisServices.Tabular.MeasureExtendedPropertyCollection","0.0","False","False","False","","Model","11/24/2025 1:36:28 AM","Microsoft.AnalysisServices.Tabular.Table","11/24/2025 1:36:28 AM","Executive Measures"
